occurrence_date_time_beijing,occurrence_date_time,fuel_tank_level,engine_total_hours_of_operation,high_resolution_total_vehicle_distance,engine_total_fuel_used,latitude,longitude,province,city,s_time,e_time,plan_mile,natural_index
2024-04-01T04:30:23Z,2024-03-31T20:30:23Z,20.8,1913.45,126248835,33998,30.3335,120.3531,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:30:56Z,2024-03-31T20:30:56Z,20.8,1913.5,126248875,33998.5,30.3332,120.3532,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:31:27Z,2024-03-31T20:31:27Z,23.6,1913.5,126248875,33998.5,30.333,120.3531,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:31:58Z,2024-03-31T20:31:58Z,21.6,1913.5,126248945,33998.5,30.3329,120.3518,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:32:29Z,2024-03-31T20:32:29Z,21.6,1913.5,126248945,33998.5,30.3329,120.3516,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:33:00Z,2024-03-31T20:33:00Z,20.8,1913.5,126249070,33998.5,30.3329,120.3514,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:33:31Z,2024-03-31T20:33:31Z,20.8,1913.5,126249070,33998.5,30.3315,120.3513,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:34:02Z,2024-03-31T20:34:02Z,20.8,1913.55,126249310,33998.5,30.3296,120.3515,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:34:33Z,2024-03-31T20:34:33Z,20.8,1913.55,126249310,33998.5,30.3282,120.3516,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:35:04Z,2024-03-31T20:35:04Z,22.4,1913.55,126249615,33998.5,30.3282,120.3516,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:35:35Z,2024-03-31T20:35:35Z,20.8,1913.55,126249615,33998.5,30.3277,120.3525,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:36:06Z,2024-03-31T20:36:06Z,20.8,1913.6,126249820,33999,30.3279,120.355,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
2024-04-01T04:36:37Z,2024-03-31T20:36:37Z,20.8,1913.6,126249820,33999,30.328,120.3578,浙江省,杭州市,2024-04-01T04:30:00.000Z,2024-04-01T08:51:00.000Z,262,24
